
2015_06_26_14_44_556,$Sound pressure: 58.1578941345 dB,Luminosity: 99.9022445678 ,Dust: 0.0632258033 mg/m,
2015_06_26_14_44_193,$Sound pressure: 64.7435913085 dB,Luminosity: 99.9022445678 ,Dust: 0.0387096767 mg/m,
2015_06_26_14_44_860,$Sound pressure: 62.8205108642 dB,Luminosity: 1.3685239553 ,Dust: 0.1929032230 mg/m,
2015_06_26_14_44_512,$Sound pressure: 62.5641021728 dB,Luminosity: 99.9022445678 ,Dust: 0.0477419328 mg/m,
2015_06_26_14_44_149,$Sound pressure: 62.4358978271 dB,Luminosity: 99.5112380981 ,Dust: 0.0374193549 mg/m,
2015_06_26_14_44_801,$Sound pressure: 58.6842117309 dB,Luminosity: 99.2179870605 ,Dust: 0.0406451606 mg/m,
2015_06_26_14_44_468,$Sound pressure: 58.6842117309 dB,Luminosity: 95.8944244384 ,Dust: 0.0387096767 mg/m,
2015_06_26_14_44_105,$Sound pressure: 59.2105255126 dB,Luminosity: 99.8044967651 ,Dust: 0.0554838705 mg/m,
2015_06_26_14_44_757,$Sound pressure: 60.0000000000 dB,Luminosity: 99.7067413330 ,Dust: 0.0380645160 mg/m,
2015_06_26_14_44_409,$Sound pressure: 61.9230766296 dB,Luminosity: 99.9022445678 ,Dust: 0.0387096767 mg/m,
2015_06_26_14_44_061,$Sound pressure: 63.0769233703 dB,Luminosity: 99.8044967651 ,Dust: 0.0425806474 mg/m,
2015_06_26_14_44_697,$Sound pressure: 65.1190490722 dB,Luminosity: 98.3382186889 ,Dust: 0.0374193549 mg/m,
2015_06_26_14_44_365,$Sound pressure: 62.3076934814 dB,Luminosity: 100.0000000000 ,Dust: 0.0406451606 mg/m,
2015_06_26_14_44_017,$Sound pressure: 61.0256423950 dB,Luminosity: 99.8044967651 ,Dust: 0.0425806474 mg/m,
2015_06_26_14_44_669,$Sound pressure: 60.7692298889 dB,Luminosity: 99.8044967651 ,Dust: 0.1335483908 mg/m,
2015_06_26_14_44_305,$Sound pressure: 61.1538467407 dB,Luminosity: 98.0449676513 ,Dust: 0.0399999980 mg/m,
2015_06_26_14_44_957,$Sound pressure: 60.5128211975 dB,Luminosity: 99.7067413330 ,Dust: 0.0516129016 mg/m,
2015_06_26_14_44_609,$Sound pressure: 59.4736862182 dB,Luminosity: 99.8044967651 ,Dust: 0.0412903213 mg/m,
2015_06_26_14_44_261,$Sound pressure: 62.0512809753 dB,Luminosity: 99.5112380981 ,Dust: 0.0380645160 mg/m,
2015_06_26_14_44_913,$Sound pressure: 62.0512809753 dB,Luminosity: 98.6314773559 ,Dust: 0.0393548374 mg/m,
2015_06_26_14_44_565,$Sound pressure: 55.5263175964 dB,Luminosity: 99.9022445678 ,Dust: 0.0406451606 mg/m,
2015_06_26_14_44_202,$Sound pressure: 65.1190490722 dB,Luminosity: 99.9022445678 ,Dust: 0.0451612901 mg/m,
2015_06_26_14_44_854,$Sound pressure: 70.0000000000 dB,Luminosity: 99.7067413330 ,Dust: 0.0470967721 mg/m,
2015_06_26_14_45_506,$Sound pressure: 63.3333320617 dB,Luminosity: 99.9022445678 ,Dust: 0.0451612901 mg/m,
2015_06_26_14_45_173,$Sound pressure: 51.8750000000 dB,Luminosity: 99.9022445678 ,Dust: 0.0470967721 mg/m,
2015_06_26_14_45_810,$Sound pressure: 53.1250000000 dB,Luminosity: 99.9022445678 ,Dust: 0.0535483884 mg/m,
2015_06_26_14_45_462,$Sound pressure: 62.8205108642 dB,Luminosity: 99.9022445678 ,Dust: 0.0406451606 mg/m,
2015_06_26_14_45_114,$Sound pressure: 51.8750000000 dB,Luminosity: 99.9022445678 ,Dust: 0.0458064508 mg/m,
2015_06_26_14_45_750,$Sound pressure: 51.2500000000 dB,Luminosity: 99.9022445678 ,Dust: 0.0580645132 mg/m,
2015_06_26_14_45_402,$Sound pressure: 61.1538467407 dB,Luminosity: 99.9022445678 ,Dust: 0.0419354820 mg/m,
2015_06_26_14_45_070,$Sound pressure: 71.8888854980 dB,Luminosity: 100.0000000000 ,Dust: 0.0496774196 mg/m,
2015_06_26_14_45_706,$Sound pressure: 55.5263175964 dB,Luminosity: 100.0000000000 ,Dust: 0.0399999980 mg/m,
2015_06_26_14_45_358,$Sound pressure: 52.5000000000 dB,Luminosity: 100.0000000000 ,Dust: 0.0445161294 mg/m,
2015_06_26_14_45_010,$Sound pressure: 69.6428604125 dB,Luminosity: 99.8044967651 ,Dust: 0.0464516115 mg/m,
2015_06_26_14_45_662,$Sound pressure: 59.7368431091 dB,Luminosity: 100.0000000000 ,Dust: 0.0438709688 mg/m,
2015_06_26_14_45_299,$Sound pressure: 52.5000000000 dB,Luminosity: 99.7067413330 ,Dust: 0.0387096767 mg/m,
2015_06_26_14_45_966,$Sound pressure: 53.7500000000 dB,Luminosity: 99.9022445678 ,Dust: 0.0438709688 mg/m,
2015_06_26_14_45_618,$Sound pressure: 53.1250000000 dB,Luminosity: 99.9022445678 ,Dust: 0.0406451606 mg/m,
2015_06_26_14_45_255,$Sound pressure: 51.8750000000 dB,Luminosity: 99.9022445678 ,Dust: 0.0412903213 mg/m,
2015_06_26_14_45_907,$Sound pressure: 53.1250000000 dB,Luminosity: 99.8044967651 ,Dust: 0.0458064508 mg/m,
2015_06_26_14_45_559,$Sound pressure: 54.3750000000 dB,Luminosity: 99.7067413330 ,Dust: 0.0432258081 mg/m,
2015_06_26_14_45_195,$Sound pressure: 55.0000000000 dB,Luminosity: 99.1202316284 ,Dust: 0.0419354820 mg/m,
2015_06_26_14_45_863,$Sound pressure: 55.2631568908 dB,Luminosity: 99.7067413330 ,Dust: 0.0406451606 mg/m,
2015_06_26_14_45_515,$Sound pressure: 57.3684196472 dB,Luminosity: 99.7067413330 ,Dust: 0.0432258081 mg/m,
2015_06_26_14_45_167,$Sound pressure: 58.1578941345 dB,Luminosity: 98.4359741210 ,Dust: 0.0406451606 mg/m,
2015_06_26_14_46_803,$Sound pressure: 57.6315803527 dB,Luminosity: 98.8269805908 ,Dust: 0.0503225803 mg/m,
2015_06_26_14_46_471,$Sound pressure: 58.1578941345 dB,Luminosity: 99.8044967651 ,Dust: 0.0425806474 mg/m,
2015_06_26_14_46_107,$Sound pressure: 61.4102554321 dB,Luminosity: 99.9022445678 ,Dust: 0.0438709688 mg/m,
2015_06_26_14_46_759,$Sound pressure: 57.6315803527 dB,Luminosity: 99.9022445678 ,Dust: 0.0425806474 mg/m,
2015_06_26_14_46_411,$Sound pressure: 58.9473686218 dB,Luminosity: 99.8044967651 ,Dust: 0.0438709688 mg/m,
2015_06_26_14_46_063,$Sound pressure: 57.3684196472 dB,Luminosity: 99.9022445678 ,Dust: 0.0419354820 mg/m,
2015_06_26_14_46_699,$Sound pressure: 58.6842117309 dB,Luminosity: 99.4134902954 ,Dust: 0.0496774196 mg/m,
2015_06_26_14_46_367,$Sound pressure: 59.2105255126 dB,Luminosity: 98.2404708862 ,Dust: 0.0432258081 mg/m,
2015_06_26_14_46_019,$Sound pressure: 57.8947372436 dB,Luminosity: 99.9022445678 ,Dust: 0.0445161294 mg/m,
2015_06_26_14_46_671,$Sound pressure: 58.1578941345 dB,Luminosity: 99.8044967651 ,Dust: 0.0445161294 mg/m,
2015_06_26_14_46_307,$Sound pressure: 58.1578941345 dB,Luminosity: 99.4134902954 ,Dust: 0.0438709688 mg/m,
2015_06_26_14_46_959,$Sound pressure: 62.5641021728 dB,Luminosity: 96.3831863403 ,Dust: 0.0470967721 mg/m,
2015_06_26_14_46_611,$Sound pressure: 60.6410255432 dB,Luminosity: 96.7741928100 ,Dust: 0.0419354820 mg/m,
2015_06_26_14_46_263,$Sound pressure: 60.2564086914 dB,Luminosity: 99.9022445678 ,Dust: 0.0470967721 mg/m,
2015_06_26_14_46_915,$Sound pressure: 60.1282043457 dB,Luminosity: 99.7067413330 ,Dust: 0.0432258081 mg/m,
2015_06_26_14_46_567,$Sound pressure: 60.3846168518 dB,Luminosity: 99.6089935302 ,Dust: 0.0425806474 mg/m,
2015_06_26_14_46_204,$Sound pressure: 61.6666679382 dB,Luminosity: 95.6989212036 ,Dust: 0.0477419328 mg/m,
2015_06_26_14_46_856,$Sound pressure: 61.1538467407 dB,Luminosity: 98.6314773559 ,Dust: 0.0419354820 mg/m,
2015_06_26_14_46_508,$Sound pressure: 64.2307662963 dB,Luminosity: 85.2394943237 ,Dust: 0.0445161294 mg/m,
2015_06_26_14_46_175,$Sound pressure: 67.1428604125 dB,Luminosity: 100.0000000000 ,Dust: 0.0458064508 mg/m,
2015_06_26_14_46_812,$Sound pressure: 60.3846168518 dB,Luminosity: 99.9022445678 ,Dust: 0.0438709688 mg/m,
2015_06_26_14_46_464,$Sound pressure: 60.1282043457 dB,Luminosity: 100.0000000000 ,Dust: 0.0432258081 mg/m,
2015_06_26_14_46_116,$Sound pressure: 61.5384597778 dB,Luminosity: 99.9022445678 ,Dust: 0.0477419328 mg/m,
2015_06_26_14_47_752,$Sound pressure: 69.2857131958 dB,Luminosity: 99.7067413330 ,Dust: 0.0483870935 mg/m,
2015_06_26_14_47_404,$Sound pressure: 59.4736862182 dB,Luminosity: 97.6539611816 ,Dust: 0.0438709688 mg/m,
2015_06_26_14_47_072,$Sound pressure: 61.4102554321 dB,Luminosity: 99.5112380981 ,Dust: 0.0464516115 mg/m,
2015_06_26_14_47_724,$Sound pressure: 65.1190490722 dB,Luminosity: 98.4359741210 ,Dust: 0.0522580623 mg/m,
2015_06_26_14_47_360,$Sound pressure: 60.3846168518 dB,Luminosity: 92.1798629760 ,Dust: 0.0458064508 mg/m,
2015_06_26_14_47_012,$Sound pressure: 61.0256423950 dB,Luminosity: 77.4193572998 ,Dust: 0.0451612901 mg/m,
2015_06_26_14_47_664,$Sound pressure: 61.6666679382 dB,Luminosity: 96.0899353027 ,Dust: 0.0425806474 mg/m,
2015_06_26_14_47_301,$Sound pressure: 61.7948722839 dB,Luminosity: 99.4134902954 ,Dust: 0.0458064508 mg/m,
2015_06_26_14_47_968,$Sound pressure: 59.4736862182 dB,Luminosity: 97.3607025146 ,Dust: 0.0464516115 mg/m,
2015_06_26_14_47_620,$Sound pressure: 60.7692298889 dB,Luminosity: 81.2316741943 ,Dust: 0.0451612901 mg/m,
2015_06_26_14_47_257,$Sound pressure: 57.6315803527 dB,Luminosity: 99.8044967651 ,Dust: 0.0561290311 mg/m,
2015_06_26_14_47_909,$Sound pressure: 62.4358978271 dB,Luminosity: 90.1270751953 ,Dust: 0.0438709688 mg/m,
2015_06_26_14_47_561,$Sound pressure: 60.6410255432 dB,Luminosity: 99.8044967651 ,Dust: 0.0419354820 mg/m,
2015_06_26_14_47_213,$Sound pressure: 60.5128211975 dB,Luminosity: 90.2248306274 ,Dust: 0.0438709688 mg/m,
2015_06_26_14_47_865,$Sound pressure: 60.1282043457 dB,Luminosity: 89.7360687255 ,Dust: 0.0425806474 mg/m,
2015_06_26_14_47_517,$Sound pressure: 61.4102554321 dB,Luminosity: 93.9393920898 ,Dust: 0.0516129016 mg/m,
2015_06_26_14_47_169,$Sound pressure: 61.9230766296 dB,Luminosity: 79.4721374511 ,Dust: 0.0451612901 mg/m,
2015_06_26_14_47_805,$Sound pressure: 62.1794891357 dB,Luminosity: 79.9608993530 ,Dust: 0.0458064508 mg/m,
2015_06_26_14_47_457,$Sound pressure: 61.5384597778 dB,Luminosity: 79.7653961181 ,Dust: 0.0425806474 mg/m,
2015_06_26_14_47_109,$Sound pressure: 60.5128211975 dB,Luminosity: 97.2629547119 ,Dust: 0.0445161294 mg/m,
2015_06_26_14_47_761,$Sound pressure: 61.0256423950 dB,Luminosity: 96.6764450073 ,Dust: 0.0470967721 mg/m,
